the_geom,county,city_village_or_cdp,housing_type,complex_address,units,acres,status,year,comment,conversion_date,cartodb_id,latitude,longitude,number,street,city,zip
0101000020E610000000CADFBDA36552C095F430B43A534440,Nassau,Freeport,APT,98 Rose St.,36,0.7,BUILT,1900,,,175,40.650229,-73.588119,98,Rose St,Freeport,11520
0101000020E6100000014EEFE2FD6B52C0B4E6C75F5A6A4440,Nassau,Port Washington,APT,55 Main St.,10,0.1,BUILT,1908,,,814,40.830883,-73.687371,55,Main St,Port Washington,11050
0101000020E610000001DA56B3CE6752C095490D6D005A4440,Nassau,Hempstead,APT,108 Grove St.,12,0.4,BUILT,1910,,,214,40.703138,-73.621991,108,Grove St,Hempstead,11550
0101000020E6100000E99C9FE2386852C0ECFA05BB61594440,Nassau,Hempstead,APT,21-31 Linden Pl.,12,0.4,BUILT,1913,,,211,40.698295,-73.628472,31,Linden Pl,Hempstead,11550
0101000020E61000005B5EB9DE366852C0342BDB87BC5B4440,Nassau,Hempstead,APT,298 Main St.,12,0.1,BUILT,1918,,,213,40.716691,-73.628349,298,Main St,Hempstead,11550
0101000020E6100000CFD90242EB6752C0E4141DC9E55B4440,Nassau,Hempstead,APT,21 Lincoln Blvd.,15,0.1,BUILT,1920,,,218,40.71795,-73.623734,21,Lincoln Blvd,Hempstead,11550
0101000020E6100000DB334B02D46652C064B2B8FFC85A4440,Nassau,Hempstead,APT,1 Lincoln & 350 Washington St,25,0.5,BUILT,1920,,,303,40.709259,-73.60669,1,Lincoln Rd,Hempstead,11550
0101000020E6100000747B4963B45452C02B172AFF5A584440,Suffolk,Babylon,APT,50 The Crescent,24,0.4,BUILT,1920,,,1048,40.690277,-73.32351,50,The Cres,Babylon,11702
0101000020E61000006CCF2C09506D52C071546EA2965C4440,Nassau,Floral Park,COOP,33-47 Floral Blvd.,36,0.9,BUILT,1920,APTCONV,1985 E,103,40.723347,-73.70801,47,Floral Blvd,Floral Park,11001
0101000020E6100000963FDF162C6752C023A30392B0534440,Nassau,Baldwin,APT,"21 Edna Ct., 699 School St.",12,0.1,BUILT,1921,,,33,40.653826,-73.612066,21,Edna Ct,Baldwin,11510
0101000020E6100000103CBEBD6B6B52C06479573D60544440,Nassau,Lynbrook,APT,477 Merrick Rd.,26,0.3,BUILT,1921,,,358,40.659187,-73.678451,477,Merrick Rd,Lynbrook,11563
0101000020E6100000D36A48DC636D52C0098B8A389D504440,Nassau,Woodmere,APT,9 Lafayette Pl.,13,0.1,BUILT,1922,,,523,40.629798,-73.70922,9,Lafayette Pl,Woodmere,11598
0101000020E61000003B730F09DF6652C0B58CD47B2A554440,Nassau,Baldwin,COOP,1861 Grand Ave.,19,1.1,BUILT,1922,APTCONV,1987,38,40.665359,-73.607363,1861,Grand Ave,Baldwin,11510
0101000020E6100000EA245B5D4E6E52C042CD902A8A4F4440,Nassau,Cedarhurst,APT,97 Cedarhurst Ave.,57,3.2,BUILT,1923,,,65,40.621404,-73.723533,97,Cedarhurst Ave,Cedarhurst,11516
0101000020E6100000EC4D0CC9C96D52C053910A630B514440,Nassau,Woodmere,COOP,302 Longacre Ave.,18,0.1,BUILT,1923,APTCONV,,524,40.63316,-73.715441,302,Longacre Ave,Woodmere,11598
